小韻號	首字	反切	音韻地位	細分轄字
767	車	尺遮	昌開三麻平	
768	奢	式車	書開三麻平	
769	邪	以遮	以開三麻平	
770	遮	正奢	章開三麻平	
771	嗟	子邪	精開三麻平	
772	蛇	食遮	船開三麻平	
773	華	戶花	匣合二麻平	
774	瓜	古華	見合二麻平	
775	華	呼瓜	曉合二麻平	
776	誇	苦瓜	溪合二麻平	
777	拏	女加	孃開二麻平	
778	嘉	古牙	見開二麻平	
779	遐	胡加	匣開二麻平	
780	葩	普巴	滂二麻平	
781	鴉	於加	影開二麻平	
782	巴	伯加	幫二麻平	
783	叉	初牙	初開二麻平	
784	鯊	所加	生開二麻平	
785	牙	五加	疑開二麻平	
786	樝	側加	莊開二麻平	
787	𡨀	宅加	澄開二麻平	
788	衺	似嗟	邪開三麻平	
789	闍	視遮	常開三麻平	
790	窊	烏瓜	影合二麻平	
791	髽	莊華	莊合二麻平	
792	檛	陟瓜	知合二麻平	
793	爬	蒲巴	並二麻平	
